"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0015799",0.536872092734947,6.82519798687649,3.38215764925459,0.00591471074478489,0.0145049349405664,-3.11573176866995
"FBgn0025620",-2.91020839879205,7.08329867336605,-3.60770980222213,0.00395541938460489,0.0104581059561116,-2.70904759643858
"FBgn0015288",-0.780760887969336,9.82441564188553,-4.95494721270974,0.000401038795108668,0.00163731369533751,-0.266558237169179
"FBgn0025639",0.0469558313862892,6.05834809566806,0.277979867154496,0.786057110984789,0.832416369667706,-7.36282834414008
"FBgn0002579",-0.694995324319724,10.35073510974,-2.85255403268273,0.0153722761718917,0.0317843908720171,-3.96970926586101
"FBgn0026879",-0.123637774787709,6.55782610929938,-0.489110171820887,0.634135380851248,0.700100652928981,-7.27306004751544
"FBgn0029529",-0.487365068318791,3.63634976742727,-1.99279672449925,0.0710404765866019,0.111864641864875,-5.33118910001629
"FBgn0025633",-0.0137292443402401,5.29261737496047,-0.110178804171557,0.914203443958238,0.933230726141473,-7.38007219595484
"FBgn0040339",-0.52416363127238,3.55328061551477,-2.82415018383976,0.0161824976153327,0.0331450932098799,-3.89351823942755
"FBgn0040347",-0.628706343278447,0.977545787594874,-1.46626836228514,0.169890928057757,0.233069814575951,-5.10595522142678
"FBgn0040397",-0.164540553405315,2.42743816133647,-0.199335301819672,0.845548304676943,0.879110401277436,-6.66455307000657
"FBgn0040349",-2.54437429700646,3.30106421437259,-1.65357015056953,0.125748546707418,0.180650752769375,-5.33749190174295
"FBgn0040346",-0.536745261387771,4.76480161450609,-3.94719598345422,0.0021771180340181,0.00639741801069734,-2.05760308210955
"FBgn0040364",-2.51611976816329,2.38560436427075,-0.960938673113354,0.356729430439086,0.436095462972372,-5.82853176913923
"FBgn0024362",1.03929936430694,6.21349021998348,9.29486034657924,1.26269307760453e-06,1.58440002592252e-05,5.69193599928771
"FBgn0024364",-1.00522450372997,5.38014284251909,-6.32472147413586,5.0360915005961e-05,0.000301176404961999,1.82330389833
"FBgn0024987",0.285166455867234,6.2942548181732,1.79169214611883,0.100020482200689,0.149295278578969,-5.87038624096219
"FBgn0023169",0.251421491393735,6.54924434477157,2.48385057773469,0.0298830204616741,0.0548430722084165,-4.73343734696859
"FBgn0052813",-2.40488484675317,2.3944682887881,-4.80764221082066,0.000509231090429807,0.00196590639665136,0.128320105759452
"FBgn0024985",1.78185961408,6.17383419116252,9.26790937858692,1.30016356615793e-06,1.62698550367846e-05,5.67120934681222
"FBgn0027794",-0.548895635390569,5.2431303683736,-4.72516322200517,0.000582861737161421,0.00219000183813659,-0.73096920297148
"FBgn0027795",0.211051991022586,1.79021388737733,0.55138796066227,0.592122439732244,0.662669339902487,-6.32974423461545
"FBgn0024986",-0.166988060933895,4.77552471070802,-1.15634268823132,0.271444546608702,0.345896555643661,-6.67219469503908
"FBgn0000826",-1.38552117993055,0.488123195490588,-2.53522033075388,0.0272511005793335,0.0509810132856567,-3.3876349780248
"FBgn0024365",1.07191929525156,7.33200045830591,8.73473554547934,2.35165441916565e-06,2.5162357972566e-05,5.05208189961686
"FBgn0024360",0.217803729176183,4.31474196782622,1.97281619532821,0.0735269722878976,0.115233779429542,-5.50390076754412
"FBgn0025641",2.54829156825974,7.28294155726472,10.8817475356232,2.51796750217443e-07,5.05530398513481e-06,7.38557039358657
"FBgn0028550",-0.625973926470878,5.90268562736842,-4.1907247536757,0.00142951655515651,0.00457195054051805,-1.67843430194759
"FBgn0026876",-0.653587516761132,3.62699431825129,-2.9162432541785,0.013699703693247,0.0289022617177394,-3.70430962392241
"FBgn0040366",0.0958500772541999,1.87906431094906,0.42425747760722,0.679356579139496,0.740232276778207,-6.45848554388218
"FBgn0026872",-0.919381555870734,0.738648437337073,-2.36171024996181,0.0371734732402122,0.0655084982974369,-3.76192336720724
"FBgn0025394",0.662275978350789,6.47456098612576,6.17932080628737,6.19966897782531e-05,0.00035759416645578,1.60535678077836
"FBgn0001189",0.0410830753305813,5.37791118072166,0.3755886054085,0.71419015924828,0.769808507933102,-7.31546458661539
"FBgn0025391",-2.56226561078934,0.567263143685333,-3.36111260793972,0.00614211976595665,0.0149422807089252,-2.07073816908476
"FBgn0023130",-0.517884004640806,3.23110478343338,-3.15109749958316,0.00896207301724318,0.0203716421804085,-3.20552624997158
"FBgn0023530",-0.382367103325587,3.1571859698788,-2.09301360065739,0.0597102116970599,0.0965189619734824,-5.07370626673168
"FBgn0025390",-0.161836526289344,4.40501422640423,-0.510860848115882,0.619298487768589,0.687707225201949,-7.15984555956106
"FBgn0003517",-0.630300948487735,11.4367604257298,-4.67704782508647,0.000630910557324281,0.0023360664495204,-0.693778405662719
"FBgn0025382",-0.931988113628706,-0.0786571481256044,-1.17029727885199,0.266013194364945,0.340102243600248,-5.09596163977713
"FBgn0027791",-0.947570547665615,4.57851027970941,-7.31213154811012,1.32067186906942e-05,0.00010267521296978,3.29107310644049
"FBgn0027793",-2.65218027307357,1.1827954815215,-1.74586313290601,0.10797805542485,0.159029348860299,-4.63072997198755
"FBgn0026873",0.00521942851784019,4.07413829298334,0.0418994338625699,0.967311343907752,0.974512172770589,-7.28474194898353
"FBgn0023513",-1.15036005090844,3.69170795391921,-7.63471842881525,8.75480601715787e-06,7.41368741290727e-05,3.85992515577479
"FBgn0014411",1.08288763872855,6.95964718451606,9.10809245983152,1.54849772036335e-06,1.83679796356773e-05,5.48371807590906
"FBgn0023514",-0.468973884404718,5.10420286949102,-4.22250204963538,0.00135386748834718,0.00438792050593086,-1.59599407783202
"FBgn0029594",-0.416495258513375,4.03227083899531,-2.24698199658885,0.0455670311353547,0.0773168942505624,-5.00171983809033
"FBgn0023519",0.0481978426718301,5.01685606718645,0.292122179281584,0.775496119641493,0.823140979279598,-7.33434640642111
"FBgn0023509",-0.190394636263399,5.57441340780816,-1.71075850204528,0.114453868087593,0.166851958504714,-5.98919738162702
"FBgn0023508",1.39635410755255,5.99893114373974,11.3811248460772,1.57844195379454e-07,3.78205042568213e-06,7.85682829639723
"FBgn0023522",0.217277625439976,5.48772744843128,2.03528105481475,0.0660115775210353,0.105252126618878,-5.48280474864796
"FBgn0023521",-0.381877090526114,2.99858972009406,-2.93045951755089,0.0133519424750201,0.0282665108943937,-3.57173822826766
"FBgn0025630",-0.575685027192955,2.86050096388382,-2.60052466749809,0.0242308948806937,0.0462952626897019,-4.08542342295607
"FBgn0025629",-0.385304881064059,4.39332233831207,-3.2030453417309,0.00816083370151814,0.0188374518921966,-3.37226993773401
"FBgn0025628",0.819705039440889,5.45469054664056,4.71717390158242,0.00059056585857688,0.00220985934177155,-0.741803758099667
"FBgn0025626",0.0681815918528441,5.56299511835266,0.558598602399482,0.587353056206374,0.658261577824533,-7.2300437755283
"FBgn0025625",0.072658667299951,2.23036611742944,0.246934791039852,0.809395358418379,0.851578070734454,-6.65250476055118
"FBgn0000667",-1.15655782087797,6.59149080311441,-3.37629185012073,0.00597721860104399,0.0146385769223959,-3.14740150364987
"FBgn0023545",-0.149394717825944,4.96585181487211,-1.19110249206029,0.25807392624137,0.331401204177109,-6.64410417589983
