"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0053217",0.312778655345443,3.49117945665315,0.566992738828108,0.581342730979449,0.944960908838098,-6.73203621787393
"FBgn0052350",0.463911545167683,1.98058818584214,1.04878756382814,0.315278663626013,0.902048538829999,-6.03329300289202
"FBgn0024733",-0.0994118008926996,10.3664071100123,-0.669095915775656,0.51630935048638,0.930576123977869,-6.85763714994678
"FBgn0040372",0.0377653981700306,4.74049790889544,0.367292251567085,0.719902440185935,0.967622560951855,-7.04882984069684
"FBgn0000316",-0.0874133880907735,5.13155198035625,-0.739836731825072,0.473859177803386,0.925122239738814,-6.86654984115918
"FBgn0023536",-0.0998330452894782,4.20340064764919,-0.504268866766063,0.623353980618436,0.947344441571932,-6.91881588596311
"FBgn0023535",-0.0794163420830376,6.56151576768524,-0.566291466059047,0.581804068886351,0.944960908838098,-7.02806546867383
"FBgn0023537",-0.288934008684084,8.70137013607082,-2.00087985432962,0.068944684052552,0.901630317246967,-5.29582693179079
"FBgn0029525",-0.240389560991231,4.98072105369364,-1.09929871812077,0.293556279367847,0.902048538829999,-6.51064982332836
"FBgn0040373",-0.543146973592916,1.03013293737472,-1.43778070760967,0.176478286365296,0.901630317246967,-5.27364124191032
"FBgn0000108",-0.178456213470698,0.888975009414779,-0.418865605677514,0.682836331563563,0.958315440379023,-6.07725528523643
"FBgn0025640",-0.234295062108344,4.76578934809876,-0.885668718824397,0.393483729911771,0.902048538829999,-6.71188310376367
"FBgn0025635",-0.0777344393939834,3.47944821743394,-0.590203607817077,0.566183420543336,0.944960908838098,-6.7275826841251
"FBgn0001341",-0.181957649655852,5.27156970446907,-0.771848519190218,0.455381647477137,0.921144010991172,-6.8455170310398
"FBgn0003575",-0.0924964296653012,4.80950298790572,-0.666495702032345,0.51791132068692,0.931140344677721,-6.89463637356185
"FBgn0025634",-0.360113925068661,3.38216180003006,-2.34166092849035,0.0376005680215734,0.901630317246967,-4.48367408550611
"FBgn0025638",-0.138281407249158,6.47533320777265,-1.36876676860759,0.196560516436832,0.901630317246967,-6.26189038674348
"FBgn0040383",-0.349713268093644,6.19142686511915,-1.24543917739928,0.237129614005978,0.902048538829999,-6.41487377038843
"FBgn0040382",-0.395784439094636,3.58895525295731,-2.7909055268397,0.0165433176660142,0.738673092424104,-3.75343996923108
"FBgn0025621",-0.0264383036894484,5.60445925232568,-0.14075985573815,0.890433509428758,0.987305488495046,-7.16847138581299
"FBgn0015799",-0.00183104804577106,5.5568429669171,-0.010050633948525,0.992148780723094,0.999522235925361,-7.17878172860703
"FBgn0025620",0.163322381035442,10.5724134102721,1.12148239396747,0.284382297137211,0.902048538829999,-6.44273323932251
"FBgn0015288",-0.216982093930856,9.43538490053867,-0.764190419726397,0.459759840707288,0.922892377811895,-6.82047479532506
"FBgn0025639",0.19712666897455,5.42748036118194,1.03874848746173,0.319735142583638,0.902048538829999,-6.61639638732992
"FBgn0002579",-0.190096342904853,9.89254057833079,-1.2580311041501,0.232700593685263,0.902048538829999,-6.31262982401317
"FBgn0026879",-0.31618450530226,5.78478802444794,-1.70730635817689,0.113910162046157,0.901630317246967,-5.78582016021104
"FBgn0029529",-0.461549076710717,2.66366623517704,-1.96774127398497,0.0730446400188507,0.901630317246967,-4.9774231705887
"FBgn0025633",0.0891928206643495,4.11325936012248,0.660984883765604,0.521316086034731,0.931140344677721,-6.80834075683908
"FBgn0040339",-0.0891497086557473,2.62391052626318,-0.388673931360849,0.704437956662457,0.963962002510141,-6.62946628874507
"FBgn0040349",-0.453438800519337,4.14715375487977,-1.50565092225593,0.158442966525781,0.901630317246967,-5.90617881868603
"FBgn0040346",-0.27531454025832,3.77461950924474,-1.29210970631251,0.221046536623317,0.902048538829999,-6.12369158489689
"FBgn0040364",-0.0774059881776146,2.55806504654087,-0.250824820014923,0.80626296422572,0.981447729954724,-6.65509398071108
"FBgn0024362",-0.0908660988500118,5.58908835991885,-0.959737032584069,0.356437211511623,0.902048538829999,-6.70245936404644
"FBgn0024364",-0.201187661199993,5.07544214007006,-0.955544251898111,0.358465930217478,0.902048538829999,-6.66612323736293
"FBgn0024987",-0.0841808742094061,5.42830475401682,-0.82204166601497,0.427348578316668,0.90960203814831,-6.82072620289952
"FBgn0023169",-0.151512279624258,5.77449013809891,-0.882921201156838,0.394907190679646,0.902048538829999,-6.78464567998242
"FBgn0052813",0.151245666768292,1.3768915354925,0.360797221844286,0.724626217630009,0.967901988768429,-6.22872819810329
"FBgn0024985",0.0362846627106506,3.95583080082067,0.274522036983544,0.788429562798826,0.978917297415832,-6.96766884931526
"FBgn0027794",-0.116680504769655,5.02711257247844,-0.418006177482241,0.683447305473043,0.958315440379023,-7.05226456518221
"FBgn0024986",-0.238488262208935,3.7117248995627,-1.10603593520244,0.290746648500241,0.902048538829999,-6.35014695365487
"FBgn0024365",-0.00411675009739021,6.15069122580539,-0.0399288850000926,0.968817307916045,0.995357966216421,-7.19480522625981
"FBgn0024360",-0.54100727740563,3.99727211129628,-1.98302866771748,0.071125999676147,0.901630317246967,-5.1997225647612
"FBgn0025641",1.03155482993245,3.07942360398315,1.47082162648391,0.167491998512179,0.901630317246967,-5.75143083051269
"FBgn0028550",0.0206113687352474,5.5089226640356,0.0841411850217426,0.934354535964454,0.991939673181417,-7.16976049003435
"FBgn0040366",-0.252322848835285,1.01093770707714,-0.83991577766165,0.417645606710903,0.907663015306727,-5.86812884341644
"FBgn0026872",0.254142864674378,0.615646946995944,0.541388796816532,0.59831083052212,0.944960908838098,-5.91486957160984
"FBgn0025383",0.641811724725863,2.93827364935967,2.56479567026457,0.0250583350333723,0.862584998518691,-3.96397381612493
"FBgn0025394",0.151543879578378,5.52226886599557,1.51161963845806,0.156934921482794,0.901630317246967,-6.05121566562825
"FBgn0001189",0.00882439004511415,5.17055131024093,0.0523401108716491,0.959133147885514,0.993570667568538,-7.15582443332867
"FBgn0023130",-0.153085543994653,2.47540284042701,-0.734313297982153,0.477094005130688,0.925122239738814,-6.42851653968601
"FBgn0023530",-0.156815674666838,3.1185739300358,-1.1102367829061,0.289005143623818,0.902048538829999,-6.20518581337396
