DGRP_Line ,Duration,Time,Melanised,Non_Melanised,Total,Proportion_Melanised,Injection_Date,Injection_Time,Dissection_Date,Dissection_Time
437,24h,24,21,8,29,0.724137931,2019_6_13,12:30,2019_6_14,12:30
892,24h,24,0,29,29,0,2019_6_13,13:05,2019_6_14,13:09
437,48h,48,34,0,34,1,2019_6_13,12:50,2019_6_15,12:50
892,48h,48,23,10,33,0.696969697,2019_6_13,13:35,2019_6_15,13:37
437,24h,24,30,2,32,0.9375,2019_7_8,16:05,2019_7_9,16:05
892,24h,24,3,24,27,0.111111111,2019_7_8,17:05,2019_7_9,17:05
437,48h,48,33,0,33,1,2019_7_8,16:40,2019_7_10,16:40
892,48h,48,39,0,39,1,2019_7_8,17:15,2019_7_10,17:15
