Female,Male,Cross_Type,Sex,Replica,Larva_No,Phenotype,Resistance_Phenotype,Infection_Date,Dissection_Date,Researcher,Comment
748,748,SusceptiblexSusceptible,Male,1,9,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,1,10,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,1,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,2,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,3,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,4,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,5,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,6,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,8,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,9,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,1,10,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,1,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,2,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,3,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,4,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,5,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,7,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,8,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,9,C,Resistant,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,1,10,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,1,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,2,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,3,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,4,2WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,5,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,7,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,8,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,9,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,1,10,WL,Susceptible,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,1,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,2,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,3,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,4,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,5,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,6,NA,NA,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,7,NA,NA,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,8,NA,NA,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,9,NA,NA,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,1,10,NA,NA,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,1,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,2,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,3,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,4,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,5,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,6,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,8,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,9,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,1,10,NA,NA,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,1,3C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,2,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,3,2C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,4,2C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,5,4C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,6,4C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,7,3C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,8,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,9,2C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,1,10,2C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,1,1,3C,Resistant,2018_04_16,2018_04_18,NA,
