Female,Male,Cross_Type,Sex,Replica,Larva_No,Phenotype,Resistance_Phenotype,Infection_Date,Dissection_Date,Researcher,Comment
748,748,SusceptiblexSusceptible,Male,2,6,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,2,7,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,2,8,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,2,9,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Male,2,10,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,1,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,2,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,3,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,4,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,5,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,6,C,Resistant,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,7,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,8,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,9,WL,Susceptible,2018_04_16,2018_04_18,NA,
748,748,SusceptiblexSusceptible,Female,2,10,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,1,4C,Resistant,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,2,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,3,WL+3C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,4,3WL+7C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,5,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,6,WL+4C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,8,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,9,4WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Male,2,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,1,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,2,5WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,3,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,4,C,Resistant,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,5,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,6,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,8,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,9,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,892,SusceptiblexSusceptible,Female,2,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,1,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,2,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,3,4C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,4,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,5,2C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,6,3C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,7,WL,Susceptible,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,8,2C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,9,NA,NA,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Male,2,10,NA,NA,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,1,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,2,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,3,2C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,4,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,5,C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,6,2C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,7,3C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,8,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,9,6C,Resistant,2018_04_16,2018_04_18,NA,
437,892,ResistantXSusceptible,Female,2,10,3C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,1,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,2,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,3,3C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,4,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,5,3C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,6,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,7,WL,Susceptible,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,8,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,9,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Male,2,10,2C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,1,2C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,2,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,3,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,4,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,5,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,6,C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,8,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,9,2C,Resistant,2018_04_16,2018_04_18,NA,
892,437,SusceptibleXResistant,Female,2,10,3C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,1,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,2,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,3,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,4,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,5,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,7,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,8,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,9,2C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Male,2,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,1,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,2,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,3,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,4,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,5,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,8,2C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,9,C,Resistant,2018_04_16,2018_04_18,NA,
589,748,ResistantXSusceptible,Female,2,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,1,2C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,2,2C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,3,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,4,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,5,2C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,7,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,8,3C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,9,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Male,2,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,1,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,2,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,3,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,4,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,5,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,6,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,7,C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,8,2C,Resistant,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,9,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
748,589,SusceptibleXResistant,Female,2,10,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,1,3C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,2,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,3,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,4,4C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,5,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,6,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,7,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,8,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,9,3C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Male,2,10,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,1,C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,2,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,3,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,4,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,5,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,6,3C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,7,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,8,2C,Resistant,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,9,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
566,892,ResistantXSusceptible,Female,2,10,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,1,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,2,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,3,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,4,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,5,3C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,6,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,7,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,8,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,9,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Male,2,10,WL+2C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,1,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,2,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,3,2C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,4,WL+C,Susceptible,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,5,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,6,3C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,7,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,8,C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,9,3C,Resistant,2018_04_16,2018_04_18,NA,
892,566,SusceptibleXResistant,Female,2,10,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,1,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,1,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,1,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,1,4,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,1,5,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,1,6,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,1,7,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,1,8,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,1,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,1,10,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,1,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,2,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,4,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,5,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,6,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,7,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,8,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,1,10,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,1,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,4,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,5,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,6,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,7,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,8,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,2,10,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,1,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,4,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,5,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,6,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,7,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,8,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,2,10,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,1,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,4,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,5,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,6,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,7,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,8,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Male,3,10,NA,Susceptible,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,3,1,NA,Susceptible,2018_09_05,2018_09_07,Simone,No_Melanization
437,437,ResistantXResistant,Female,3,2,NA,Susceptible,2018_09_05,2018_09_07,Simone,No_Melanization
437,437,ResistantXResistant,Female,3,3,NA,Susceptible,2018_09_05,2018_09_07,Simone,No_Melanization
437,437,ResistantXResistant,Female,3,4,NA,Susceptible,2018_09_05,2018_09_07,Simone,No_Melanization
437,437,ResistantXResistant,Female,3,5,NA,Susceptible,2018_09_05,2018_09_07,Simone,No_Melanization
437,437,ResistantXResistant,Female,3,6,NA,Susceptible,2018_09_05,2018_09_07,Simone,No_Melanization
437,437,ResistantXResistant,Female,3,7,NA,Susceptible,2018_09_05,2018_09_07,Simone,No_Melanization
437,437,ResistantXResistant,Female,3,8,NA,Resistant,2018_09_05,2018_09_07,Simone,
437,437,ResistantXResistant,Female,3,9,NA,Susceptible,2018_09_05,2018_09_07,Simone,No_Melanization
437,437,ResistantXResistant,Female,3,10,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,1,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,4,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,5,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,6,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,7,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,8,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,1,10,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,1,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,4,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,5,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,6,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,7,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,8,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,1,10,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,1,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,3,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,4,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,5,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,6,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,7,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,8,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,2,10,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,1,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,4,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,5,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,6,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,7,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,8,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,2,10,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,1,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,4,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,5,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,6,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,7,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,8,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,9,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Male,3,10,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,1,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,2,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,3,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,4,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,5,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,6,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,7,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,8,NA,Resistant,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,9,NA,Susceptible,2018_09_05,2018_09_07,Simone,
566,566,ResistantXResistant,Female,3,10,NA,Susceptible,2018_09_05,2018_09_07,Simone,
892,892,SusceptiblexSusceptible,Male,1,1,NA,Susceptible,2018_09_05,2018_09_07,Simone,Low_Infection_Rate
892,892,SusceptiblexSusceptible,Male,1,2,NA,NA,2018_09_05,2018_09_07,Simone,Low_Infection_Rate
892,892,SusceptiblexSusceptible,Male,1,3,NA,NA,2018_09_05,2018_09_07,Simone,Low_Infection_Rate
892,892,SusceptiblexSusceptible,Male,1,4,NA,NA,2018_09_05,2018_09_07,Simone,Low_Infection_Rate
892,892,SusceptiblexSusceptible,Male,1,5,NA,NA,2018_09_05,2018_09_07,Simone,Low_Infection_Rate
892,892,SusceptiblexSusceptible,Male,1,6,NA,NA,2018_09_05,2018_09_07,Simone,Low_Infection_Rate
892,892,SusceptiblexSusceptible,Male,1,7,NA,NA,2018_09_05,2018_09_07,Simone,Low_Infection_Rate
892,892,SusceptiblexSusceptible,Male,1,8,NA,NA,2018_09_05,2018_09_07,Simone,Low_Infection_Rate
892,892,SusceptiblexSusceptible,Male,1,9,NA,NA,2018_09_05,2018_09_07,Simone,Low_Infection_Rate
